delivery_date,vehicle_registration_number,product_name,product_item_name,quantity,weight
2026-01-02,KBS 016T,SunVeat Happy Happy Orange Cream Biscuits,60 x 2pcs,1.0,1.2
2026-01-02,kcr 384a,Fanta Orange,350ml x 12pcs,14.0,58.8
2026-01-02,KDL 256f,Jellypop Ready to Eat Jelly,Strawberry 30g x 24 cups,1.0,0.9
2026-01-02,KCL 309P,Sumo Premium Candles,12 Packets X 8Pcs,4.0,11.52
2026-01-02,KCL 309P,Sunveat Wafers Assorted,15g x 72pcs,1.0,1.2
2026-01-02,kcr 384a,Fahari ya Kenya,250g x 4 pcs,4.0,4.0
2026-01-02,KCG 013L,Fanta Blackcurrant,500ml x 12pcs,0.0,0.0
2026-01-02,KBT 141D,Soko Maize Flour,2kg x 12 pkts - Bale,7.0,168.0
2026-01-02,KBS 419T,Fahari ya Kenya,50g x 10 pcs,2.0,1.0
2026-01-02,KCX 077s,Kabras Sugar,2kg x 10 Packets,1.0,20.0
2026-01-02,KBT 141D,Afia Energy - Apple Flavour,300ml x 12pcs,1.0,3.6
2026-01-02,KCR 383A,Jellypop Ready to Eat Jelly,Strawberry 30g x 24 cups,2.0,1.8
2026-01-02,KCR 378A,Soko Home Baking Flour,2kg x 12 pkts - Bale,0.0,0.0
2026-01-02,KCR 378A,Soko Maize Flour,1kg x 24 Packets,1.0,24.0
2026-01-02,KCR 378A,Softcare Cotton Sanitary Pads - Purple Maxi Thick,6 packets x 8pcs + 2 liners free,7.0,5.04
2026-01-02,Kbn 692W,Soko Maize Flour,1kg x 24 Packets,1.0,24.0
2026-01-02,Kbn 692W,Softcare  Space Diapers  - Jumbo,Large - 1 packet x 64 pcs,1.0,2.3
2026-01-02,KCX 077s,Red Bull Energy Drink,250ml x 4pcs,2.0,2.0
2026-01-02,KCG 013L,Nutrameal Sugar ,250g x 40 packets,2.0,20.0
2026-01-02,KDL 256f,Softcare Diapers Gold - High Count,Large - 1 packet x 40pcs,1.0,1.42
2026-01-02,KCR 380A,Ribena Blackcurrant,250ml x 12 packets,1.0,3.56
2026-01-02,KDL 256f,SunVeat Happy Happy Orange Cream Biscuits,60 x 2pcs,1.0,1.2
2026-01-02,KDL 256f,Twiga Fortified Vegetable Cooking Oil,	10 Litre Jerrycan,5.0,50.0
2026-01-02,KCQ 723Y,Twiga Fortified Vegetable Cooking Oil,20 Litre Jerrycan,2.0,40.0
2026-01-02,KCR 383A,Sossi Classic Chunks,70g x 12 packets,1.0,0.84
2026-01-02,KCL 309P,Indomie Noodles Beef,70g x 5 in 1 pack carton,1.0,3.1
2026-01-02,KCG 013L,Ajab Home Baking Flour,500g x 24pcs,2.0,24.0
2026-01-02,KBS 419T,Sumo Premium Candles,12 Packets X 8Pcs,2.0,5.76
2026-01-02,KCR 383A,Dabur Activated Charcoal Herbl Toothpaste,30g x 12pcs,1.0,0.36
2026-01-02,KCU 273E,Kabras Sugar,1kg x 20 Packets,2.0,40.0
2026-01-02,KDH 265A,Bic Metal Shaver,1 strip x 12pcs,1.0,0.01
2026-01-02,kcr 384a,Minute Maid Apple Juice,1L x 12pcs,2.0,24.0
2026-01-02,KCR 385a,Amara Body Lotion for Men,200ml x 12pcs,1.0,2.82
2026-01-02,KDH 265A,Softcare Diapers Gold - High Count,Medium - 1 packet x 42 pcs,1.0,1.42
2026-01-02,KBS 419T,Raha Cocoa Powder,8g x 24 sachets,1.0,0.19
2026-01-02,KCX 077s,SunVeat Bourbon Biscuits,24g x 36 packets,2.0,2.2
2026-01-02,KAY 414M,Sossi Classic Chunks,35g x 12 packets,1.0,0.42
2026-01-02,KCR 383A,Indomie Supa Mojo Flavour,70g x 5 in 1 pack carton,1.0,3.1
2026-01-02,KCR 383A,Techpak Clear Plastic Cups,200ml x 25pcs,5.0,0.05
2026-01-02,KDH 265A,Kensalt,200gm x 30,2.0,12.0
2026-01-02,KBS 419T,Choco Cream,1pkt x 80pcs,0.0,0.0
2026-01-02,KCL 309P,Mount Kenya Milk,ESL 21pcs x 200ml,4.0,16.8
2026-01-02,KDL 256f,Nuvita Nice Biscuits,72 packets x 4pcs,1.0,0.86
2026-01-02,KBS 871Z,Royco Chicken Cubes,4g x 40 cubes x 2 packs,2.0,0.64
2026-01-02,KCE 477L,Sossi Beef Chunks,35g x 12 packets,1.0,0.42
2026-01-02,KCR 378A,SunVeat Happy Happy Chocolate Cream Biscuits,60 x 2pcs,2.0,2.4
2026-01-02,KBS 016T,Sprite,2L x 6pcs,1.0,12.0
2026-01-02,KCR 382A,Action Tablets,1 Packet x 100pcs,1.0,1.0
2026-01-02,KCR 385a,Acacia Kids Fruit Drink ,Blue Raspberry 200ml x 12 Pouches,1.0,2.75
2026-01-02,kcr 384a,Salit Cooking Oil,12 x 500ml Carton,1.0,6.0
2026-01-02,KDD 288Y,Jellypop Ready to Eat Jelly,Strawberry 30g x 24 cups,1.0,0.9
2026-01-02,KBS 871Z,Solio Safety Matches,10 X 10 X 1 outer	(45 sticks ),1.0,0.8
2026-01-02,KBS 419T,Downy Pouch Sunrise Fresh,300ml x 1 Pouch,1.0,0.3
2026-01-02,KBS 419T,Afia Energy - Apple Flavour,300ml x 12pcs,1.0,3.6
2026-01-02,KCY 042Y,Coca-Cola,500ml x 12pcs,2.0,12.0
2026-01-02,KCY 042Y,Jik Colors Bleach,70ml x 12 pcs,0.0,0.0
2026-01-02,KBS 419T,Jellypop Ready to Eat Jelly,Blackcurrant 30g x 24cups,1.0,0.9
2026-01-02,KBS 419T,Mount Kenya Milk,ESL 18pcs x 500ml,1.0,9.0
2026-01-02,KBT 141D,Gofrut Juice Assorted Flavours,500ml x 12pcs,1.0,6.0
2026-01-02,KCE 477L,Ajab Home Baking Flour,500g x 24pcs,1.0,12.0
2026-01-02,Kbn 692W,SunVeat Ginger Nuts Biscuits,60 x 3pcs,1.0,1.2
2026-01-02,KBS 871Z,Softcare Diapers Gold - High Count,XL - 1 packet x 36 pcs,2.0,2.84
2026-01-02,KBS 871Z,Twiga Fortified Vegetable Cooking Oil,	10 Litre Jerrycan,2.0,20.0
2026-01-02,KCY 042Y,Fresh Cool Gum,Menthol 1pack x 15 x 10pcs,1.0,0.14
2026-01-02,kcr 384a,Soko Home Baking Flour,2kg x 12 pkts - Bale,0.0,0.0
2026-01-02,KBS 016T,Mara Moja Tablets,1 packet x 100pcs,1.0,0.12
2026-01-02,KDH 265A,Nuvita Breaktime Tea Biscuits,100g x 24 packets,1.0,2.6
2026-01-02,KDL 256f,Fahari ya Kenya,50g x 10 pcs,3.0,1.5
2026-01-02,KCX 077s,Fanta Blackcurrant,350ml x 12pcs,5.0,21.0
2026-01-02,KCY 042Y,Minute Maid Apple Juice,400ml x 12pcs,1.0,4.8
2026-01-02,KCQ 720Y,Kensalt,200gm x 30,3.0,18.0
2026-01-02,KBT 141D,SunVeat Happy Happy Chocolate Cream Biscuits,60 x 2pcs,1.0,1.2
2026-01-02,KBS 871Z,Janus Blackmints,1pkt x 100pcs,1.0,0.14
2026-01-02,KCX 077s,Fanta Blackcurrant,2L x 6pcs,4.0,48.0
2026-01-02,KBS 419T,Quencher Cordial Orange,1 Ltr x 12 pcs,1.0,12.0
2026-01-02,KCQ 720Y,Kensalt,500g x 40pcs,3.0,60.0
2026-01-02,KCE 477L,Wrigley's P.K Chewing Gum,Peppermint 1pkt x 50pcs,1.0,0.28
2026-01-02,KCX 077s,Afia Energy - Apple Flavour,300ml x 12pcs,1.0,3.6
2026-01-02,KBT 141D,Techpak Clear Plastic Cups,200ml x 25pcs,10.0,0.1
2026-01-02,KBT 141D,Nuvita Corn Puffs Barbeque,12.5g x 30 packets,1.0,1.0
2026-01-02,KCR 383A,Champion Fine Pen,Black - 1 packet x 25 pens,1.0,0.16
2026-01-02,KCR 378A,Soko Maize Flour,2kg x 12 pkts - Bale,7.0,168.0
2026-01-02,KCR 382A,Kabras Sugar,2kg x 10 Packets,2.0,40.0
2026-01-02,KCL 309P,Amara Body Lotion for Men,200ml x 12pcs,1.0,2.82
2026-01-02,KBS 419T,Nuvita Nice Biscuits,72 packets x 4pcs,1.0,0.86
2026-01-02,KBS 419T,Velvex Aluminium Kitchen Foil,30cm × 5m x 12pc,1.0,0.1
2026-01-02,KCX 077s,Bic Orange Fine  Blue Pen,1 packet x 20pcs,1.0,0.13
2026-01-02,KBT 141D,Excel Pure Glucose,10g x 288 packets,1.0,3.0
2026-01-02,KBS 871Z,ENO Lemon,1 packet x 24 pcs,0.0,0.0
2026-01-02,KCL 309P,Bic 1 Shaver Lady,1 strip x 12pcs,1.0,0.01
2026-01-02,KCX 077s,Sunveat Family Kumi Original,33+ 3g x 48pcs,2.0,3.0
2026-01-02,KCR 385a,Fanta Orange,500ml x 12pcs,3.0,18.0
2026-01-02,KCR 378A,Quencher Life Water,1L x 12 bottles,1.0,12.2
2026-01-02,kcr 384a,Blue Band Margarine Original,100g x 2 tubs,2.0,0.4
2026-01-02,KDL 256f,Softcare Cotton Sanitary Pads - Purple Maxi Thick,6 packets x 8pcs + 2 liners free,5.0,3.6
2026-01-02,KCR 378A,Coca-Cola,350ml x 12pcs,9.0,37.8
2026-01-02,KBS 016T,Fahari ya Kenya,100g x 10 pcs,1.0,1.0
2026-01-02,KCR 378A,Postman Cooking Oil,10 Litre Jerrycan,1.0,10.0
2026-01-02,KAY 414M,Toilex Tissue,40 x 1 pc (Wrapped),2.0,7.6
2026-01-02,KCQ 720Y,Biryani Rice,Volgae Indian Biriyani - Long Grain Rice 25kg,0.0,0.0
2026-01-02,KCL 309P,ORS Olive Oil,Hair Sheen Spray 6 x 80ml,0.0,0.0
2026-01-02,KCX 077s,Excel Pure Glucose,50G X 12pcs,1.0,1.0
2026-01-02,KCR 380A,Master Chef Wheat Flour,2kg x 12 packets,4.0,96.0
2026-01-02,KCR 380A,MacCoffee Classic,1.6g x 72pcs,1.0,0.12
2026-01-02,KCG 013L,Sprite,2L x 6pcs,1.0,12.0
2026-01-02,KCL 309P,Colgate Regular,35g x 12pcs,2.0,0.84
2026-01-02,KDL 256f,Minute Maid Tropical Juice,400ml x 12pcs,5.0,24.0
2026-01-02,KCU 273E,Twiga Fortified Vegetable Cooking Oil,20 Litre Jerrycan,1.0,20.0
2026-01-02,KBS 016T,Always Ultra Extra Long,16 x 7 Packets,1.0,2.88
2026-01-02,kcr 384a,Bic 1 Shaver Lady,1 strip x 12pcs,1.0,0.01
2026-01-02,KCR 385a,SunVeat Happy Happy Mango Cream Biscuits,60 x 2pcs,2.0,2.4
2026-01-02,KBS 419T,Safari Lemonade,300ml x 12 bottles,11.0,50.6
2026-01-02,KCY 042Y,Kabras Sugar,1kg x 20 Packets,3.0,60.0
2026-01-02,KCR 382A,Bic Cristal Medium Black Pen,1 Packet x 25pcs,2.0,0.32
2026-01-02,KBT 141D,Quencher Cordial Pineapple,500ml x 12 pcs,1.0,6.0
2026-01-02,KCR 380A,Minute Maid Apple Juice,400ml x 12pcs,5.0,24.0
2026-01-02,KCG 013L,Sossi Classic Chunks,70g x 12 packets,1.0,0.84
2026-01-02,KCR 378A,SunVeat Happy Happy Orange Cream Biscuits,60 x 2pcs,2.0,2.4
2026-01-02,Kbn 692W,Narumoro Whole Milk,Esl 500ml x 12pcs,0.0,0.0
2026-01-02,KDH 265A,Postman Cooking Oil,10 Litre Jerrycan,3.0,30.0
2026-01-02,KCR 385a,Downy Pouch Sunrise Fresh,20ml x 60pcs,1.0,1.2
2026-01-02,KCQ 720Y,Sunveat Fun Toys Rings,Tomato - 12g x 30 packets,1.0,0.4
2026-01-02,KAY 414M,Coca-Cola,500ml x 12pcs,9.0,54.0
2026-01-02,KCU 273E,ENO Lemon,1 packet x 24 pcs,0.0,0.0
2026-01-02,KCR 378A,Downy Pouch Sunrise Fresh,300ml x 1 Pouch,6.0,1.7999999999999998
2026-01-02,KBS 419T,Mara Moja Tablets,1 packet x 100pcs,3.0,0.36
2026-01-02,KCR 385a,Ariel Detergent Fresh Spring,70g x 12 pcs(2Strips),2.0,1.68
2026-01-02,kcr 384a,Ariel Fresh Floral Clean,20g x 36 pcs(6 Strips),1.0,0.72
2026-01-02,KCQ 723Y,Salit Cooking Oil,12 x 500ml Carton,0.0,0.0
2026-01-02,KCR 378A,Cribaz,Salted - 45g x 48pcs,1.0,2.5
2026-01-02,KDL 256f,Fahari ya Kenya,15g x 20pcs,3.0,0.8999999999999999
2026-01-02,KCX 077s,Fanta Orange,350ml x 12pcs,4.0,16.8
2026-01-02,KBS 419T,Kisskids Diapers Sky Blue High Count,Large - 1pkt x 40pcs,2.0,2.2
2026-01-02,KCR 385a,Bic Orange Fine Black Pen,1 packet x 20pcs,1.0,0.13
2026-01-02,KCY 042Y,Predator Gold Energy Drink,400ml x 12pcs,63.0,302.4
2026-01-02,KCR 382A,Minute Maid Apple Juice,400ml x 12pcs,1.0,4.8
2026-01-02,KCQ 720Y,Eveready Heavy Duty Batteries -Red,	AA-10Pairs X 2pcs,1.0,0.3
2026-01-02,KCQ 720Y,Softcare Diapers Gold - Low Count,12 packets x 8pcs - Large - Bale,1.0,3.5
2026-01-02,KCR 382A,Fahari ya Kenya,50g x 10 pcs,5.0,2.5
2026-01-02,kcr 384a,Softcare Diapers Gold - High Count,Large - 1 packet x 40pcs,5.0,7.1
2026-01-02,KCR 385a,Downy Pouch Lavender Calm,20ml x 60pcs,1.0,1.2
2026-01-02,KCR 382A,Soko Maize Flour,2kg x 12 pkts - Bale,1.0,24.0
2026-01-02,kcr 384a,Solio Safety Matches,10 X 10 X 1 outer	(45 sticks ),1.0,0.8
2026-01-02,KBT 141D,Rosy Jumbo Printed Tissue - Pink,1 bale x 12pcs,1.0,3.0
2026-01-02,kcr 384a,Monster Energy,Original - 500ml x 4 cans,3.0,6.0
2026-01-02,KAY 414M,Fanta Orange,350ml x 12pcs,13.0,54.6
2026-01-02,KCY 042Y,Softcare Diapers Gold - High Count,6 packets x 40pcs - Large - Bale,1.0,8.5
2026-01-02,KCR 385a,Softcare Diapers Gold - High Count,Medium - 1 packet x 42 pcs,1.0,1.42
2026-01-02,KDH 265A,SunVeat Bourbon Biscuits,24g x 36 packets,1.0,1.1
2026-01-02,KCE 477L,Coca-Cola,350ml x 12pcs,3.0,12.6
2026-01-02,KCG 013L,Fresh Cool Gum,Menthol 1pack x 15 x 10pcs,0.0,0.0
2026-01-02,KBT 141D,Kensalt,1kg x 20pcs,1.0,20.0
2026-01-02,KBS 419T,Kensalt,500g x 40pcs,3.0,60.0
2026-01-02,KDL 256f,Rosy Smart Serviettes,1 x 18 packets,1.0,3.0
2026-01-02,KCQ 723Y,Sumo Premium Candles,12 Packets X 8Pcs,1.0,2.88
2026-01-02,KCQ 723Y,Ariel Detergent Fresh Spring,500gm X 1 Pc,2.0,1.0
2026-01-02,KBS 016T,Sossi Classic Chunks,35g x 12 packets,2.0,0.84
2026-01-02,KBT 141D,SunVeat Happy Happy Orange Cream Biscuits,60 x 2pcs,2.0,2.4
2026-01-02,KCG 013L,Toilex Tissue,40 x 1 pc (Wrapped),1.0,3.8
2026-01-02,KDL 256f,Kensalt,1kg x 20pcs,2.0,40.0
2026-01-02,Kbn 692W,Fresh Cool Gum,Peppermint 4's 1pkt x 25pcs,0.0,0.0
2026-01-02,KCQ 720Y,Quencher Life Water,1L x 12 bottles,1.0,12.2
2026-01-02,KCQ 720Y,Fahari ya Kenya,100g x 10 pcs,3.0,3.0
2026-01-02,KCR 382A,Kotex Ultra Thin Sanitary Pads Night,7 x 4 packets	,0.0,0.0
2026-01-02,KDH 265A,Kabras Sugar,1kg x 20 Packets,1.0,20.0
2026-01-02,KDH 265A,Minute Maid Tropical Juice,400ml x 12pcs,1.0,4.8
2026-01-02,Kbn 692W,Softcare Diapers Gold - High Count,Medium - 1 packet x 42 pcs,1.0,1.42
2026-01-02,KCQ 723Y,Quencher Cordial Orange,1 Ltr x 12 pcs,1.0,12.0
2026-01-02,KCR 383A,Sossi Beef Chunks,35g x 12 packets,1.0,0.42
2026-01-02,KCR 383A,Indomie Noodles Beef,70g x 5 in 1 pack carton,1.0,3.1
2026-01-02,KCL 309P,Techpak White Plastic Cups,5 oz x 50pcs,1.0,0.01
2026-01-02,KCL 309P,Postman Cooking Oil,20 Litre Jerrycan,11.0,220.0
2026-01-02,Kbn 692W,SunVeat Happy Happy Strawberry Cream Biscuits,60 x 2pcs,1.0,1.2
2026-01-02,kcr 384a,Sta-Soft,Lavender Dream 20ml x 24pcs,1.0,0.48
2026-01-02,kcr 384a,Kensalt,500g x 40pcs,3.0,60.0
2026-01-02,KCQ 720Y,Nuvita Corn Puffs Tomato,12.5g x 30 packets,2.0,2.0
2026-01-02,KDL 256f,Nuvita Strawberry Cream Biscuits ,60 x 2pcs,1.0,1.38
2026-01-02,KDL 256f,Kisskids Diapers Dark Blue High Count,Small - 1pkt x 48pcs,0.0,0.0
2026-01-02,KCG 013L,Dawn Pekee Poa Tissue,40 x 1pc (Wrapped),3.0,6.6
2026-01-02,KCR 385a,ENO Lemon,1 packet x 24 pcs,0.0,0.0
2026-01-02,kcr 384a,Coca-Cola,350ml x 12pcs,12.0,50.4
2026-01-02,KCQ 720Y,Minute Maid Mango Juice,400ml x 12pcs,1.0,4.8
2026-01-02,Kbn 692W,ENO Tums,1 packet x 100 pcs,1.0,0.5
2026-01-02,KCR 382A,Wrigley's P.K Chewing Gum,Peppermint 1pkt x 50pcs,2.0,0.56
2026-01-02,KCR 378A,Fanta Orange,500ml x 12pcs,1.0,6.0
2026-01-02,KBS 419T,Downy Pouch Lavender Calm,300ml x 1 Pouch,1.0,0.3
2026-01-02,KCR 383A,Kabras Sugar,1kg x 20 Packets,5.0,100.0
2026-01-02,KCQ 723Y,Acacia Kids Fruit Drink ,Blue Raspberry 200ml x 12 Pouches,3.0,8.25
2026-01-02,KCQ 720Y,Dawn Pekee Poa Tissue,40 x 1pc (Wrapped),3.0,6.6
2026-01-02,KCQ 720Y,Sossi Classic Chunks,35g x 12 packets,2.0,0.84
2026-01-02,KBS 016T,SunVeat Koko Coffee Biscuits,60 x 4pcs,1.0,1.0
2026-01-02,KCY 042Y,Nuvita Fruity Strawberry Biscuits,72 packets x 4pcs,1.0,0.89
2026-01-02,KAY 414M,Bic Orange Fine  Blue Pen,1 packet x 20pcs,2.0,0.26
2026-01-02,KCR 383A,Downy Pouch Sweet Elegant,20ml x 60pcs,1.0,1.2
2026-01-02,KCL 309P,Monster Energy,Original - 500ml x 4 cans,3.0,6.0
2026-01-02,KBT 141D,Coca-Cola,500ml x 12pcs,2.0,12.0
2026-01-02,KBT 141D,Softcare Diapers Gold - Low Count,12 packets x 9pcs - Medium - Bale,2.0,7.0
2026-01-02,KCU 273E,Velvex Cling Film,30cm x 15m x 12pc,1.0,0.1
2026-01-02,KCQ 723Y,Minute Maid Mango Juice,1L x 12pcs,1.0,12.0
2026-01-02,Kbn 692W,Mara Moja Tablets,1 packet x 100pcs,4.0,0.48
2026-01-02,Kbn 692W,Softcare Diapers Gold - High Count,XL - 1 packet x 36 pcs,1.0,1.42
2026-01-02,KBS 871Z,Jellypop Ready to Eat Jelly,Blackcurrant 30g x 24cups,1.0,0.9
2026-01-02,KBT 141D,Softcare Diapers Gold - High Count,Medium - 1 packet x 42 pcs,1.0,1.42
2026-01-02,KCL 309P,SunVeat Happy Happy Mango Cream Biscuits,60 x 2pcs,1.0,1.2
2026-01-02,KCR 380A,Menengai Cream,1kg x 10 bars,1.0,10.0
2026-01-02,KCR 380A,Soko Maize Flour,2kg x 12 pkts - Bale,10.0,240.0
2026-01-02,KCX 077s,Colgate Herbal,35g x 12pcs,1.0,0.42
2026-01-02,KCR 383A,SunVeat Happy Happy Orange Cream Biscuits,60 x 2pcs,2.0,2.4
2026-01-02,KAY 414M,Colgate Regular,70g x 12pcs,1.0,0.84
2026-01-02,Kbn 692W,Big Giant Lollipop-Assorted,1pkt x 50pcs,2.0,2.36
2026-01-02,KCU 273E,Nuvita Corn Puffs Tomato,12.5g x 30 packets,1.0,1.0
2026-01-02,KCQ 723Y,Kabras Sugar,1kg x 20 Packets,1.0,20.0
2026-01-02,KBS 016T,Fanta Orange,500ml x 12pcs,1.0,6.0
2026-01-02,kcr 384a,Nuvita Corn Puffs Tomato,12.5g x 30 packets,1.0,1.0
2026-01-02,KBS 016T,Fanta Orange,350ml x 12pcs,4.0,16.8
2026-01-02,KAY 414M,Softcare Diapers Gold - High Count,XL - 1 packet x 36 pcs,1.0,1.42
2026-01-02,KCU 273E,Minute Maid Tropical Juice,400ml x 12pcs,3.0,14.4
2026-01-02,KCU 273E,SunVeat Bourbon Biscuits,24g x 36 packets,1.0,1.1
2026-01-02,KCR 380A,Dasani Water,500ml x 12pcs,6.0,36.0
2026-01-02,KCQ 720Y,Minute Maid Mango Juice,1L x 12pcs,3.0,36.0
2026-01-02,Kbn 692W,Downy Pouch Sunrise Fresh,20ml x 60pcs,1.0,1.2
2026-01-02,KDL 256f,Big Giant Lollipop-Assorted,1pkt x 50pcs,1.0,1.18
2026-01-02,KCL 309P,Ajab Home Baking Flour,1kg x 24 Packets,0.0,0.0
2026-01-02,KCX 077s,Dawn Pekee Poa Tissue,40 x 1pc (Wrapped),2.0,4.4
2026-01-02,kcr 384a,Postman Cooking Oil,20 Litre Jerrycan,6.0,120.0
2026-01-02,kcr 384a,Champ Mango Colada Juice,300ml x 12 bottles,1.0,3.8
2026-01-02,kcr 384a,Postman Cooking Oil,10 Litre Jerrycan,1.0,10.0
2026-01-02,KBS 871Z,Techpak Clear Plastic Cups,200ml x 25pcs,5.0,0.05
2026-01-02,KCR 378A,Sossi Classic Chunks,70g x 12 packets,2.0,1.68
2026-01-02,KBS 016T,Sunveat Fun Toys Rings,Barbeque - 12g x 30 packets,2.0,0.8
2026-01-02,KCE 477L,Techpak Clear Plastic Cups,200ml x 25pcs,3.0,0.03
2026-01-02,KDH 265A,SunVeat Big Happy Strawberry Biscuits,24g x 36 packets,1.0,1.1
2026-01-02,KDH 265A,Jellypop Ready to Eat Jelly,Blackcurrant 30g x 24cups,2.0,1.8
2026-01-02,KBS 016T,Safari Lemonade,300ml x 12 bottles,4.0,18.4
2026-01-02,KBS 016T,Softcare Diapers Gold - High Count,Medium - 1 packet x 42 pcs,1.0,1.42
2026-01-02,KCL 309P,Toilex Serviettes bales,1 x 18 packets,1.0,3.6
2026-01-02,KBS 419T,Excel Pure Glucose,10g x 288 packets,1.0,3.0
2026-01-02,KCR 380A,Kensalt,500g x 40pcs,2.0,40.0
2026-01-02,KCR 385a,Nutrameal Sugar ,250g x 40 packets,1.0,10.0
2026-01-02,KCR 385a,Softcare Diapers Gold - Low Count,12 packets x 9pcs - Medium - Bale,1.0,3.5
2026-01-02,KCL 309P,Coca-Cola,500ml x 12pcs,5.0,30.0
2026-01-02,KDH 265A,Quencher Life Water,1L x 12 bottles,2.0,24.4
2026-01-02,KCR 382A,Coca-Cola,500ml x 12pcs,4.0,24.0
2026-01-02,KCX 077s,Kensalt,200gm x 30,3.0,18.0
2026-01-02,Kbn 692W,Downy Pouch Lavender Calm,300ml x 1 Pouch,2.0,0.6
